Sl. No,Course Name,State,Name and Address of Medical College/Medical Institution,University Name,Management of College,Year of Inspection of College,Annual Intake (Seats),Status of MCI Recognition,Date of LOP
549,MBBS,Telangana,Father Colombo Institute of Medical Sciences,"Kaloji Narayana Rao University of Health Sciences, Warangal",Trust,,150,Permitted for 150 MBBS seats u/s 26(1)(a)(b) & 28(1)(2) of NMC Act 2019 for the AY 2023-24.,03-03-2023
550,MBBS,Telangana,"Gandhi Medical College, Secunderabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,1954,250,"Recognized for 150 seats. Recognized for increase of seats from 150 to 200 when degree granted on or after February, 2018. Permitted for increase of seats from 200 to 250 under EWS quota (103rd constitution amendment) for 2019-20. (Previously under NTR University of Health Sciences)",N/A
551,MBBS,Telangana,"Government Medical College, Bhadradri Kothagudem","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,,150,"Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2022-23. Permitted (1st renewal) and 2nd batch for the Academic Year 2023 - 2024.",25-08-2022
552,MBBS,Telangana,"Government Medical College, Jagtial","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,,150,"Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2022-23. Permitted (1st renewal) 2nd batch for the Academic Year 2023 -2024.",01-09-2022
553,MBBS,Telangana,Government Medical College Jangaon ,"Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,2023,100,Permitted ,18-04-2023
554,MBBS,Telangana,"Government Medical College, Jayashankar Bhupalpally","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,2023,100,"Permitted u/s 26(1) (b), 28 (1) (2) and 61(2) during Academic Year 2023-2024.",12-04-2023
555,MBBS,Telangana,"Government Medical College, Kamareddy","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,2023,100,"Permitted  u/s 26 (a) (b) ,28(1) (2) and 61(2) of NMC Act. 2019 for the A/Y 2023-2024.",06-04-2023
556,MBBS,Telangana,"Government Medical College, Karimnagar","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,2023,100,"Permitted u/s 26 (1) (b) (c), (d) 28 (1) (2) (3) and 61 (2) of NMC Act. 2019.",17-06-2023
557,MBBS,Telangana,"Government Medical College, Khammam","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,2023,100,"Permitted u/s 26(1) (b), 28 (1) (2) and 61(2) during Academic Year 2023-2024.",18-04-2023
558,MBBS,Telangana,"Government Medical College, Kumuram Bheem Asifabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,2023,100,"Permitted  u/s 26 (a) (b) ,28(1) (2) and 61(2) of NMC Act. 2019 for the A/Y 2023-2024.",05-04-2023
559,MBBS,Telangana,"Government Medical College, Mahabubabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,,150,"Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2022-23. Permitted (1st renewal) and 2nd batch for the Academic Year 2023 - 2024.",31-08-2022
560,MBBS,Telangana,"Government Medical College, Mahabubnagar","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,2016,175,Recognized for 150 seats for renewal of permission u/s 10(A) for 2020-21. Permitted for increase of seats from 150 to 175 under EWS quota (103rd constitution amendment) for 2019-20. Recognized for 150 seats only in respect of the students admitted in 2016-17 for academic year 2021-22. Recognized for one (01) year for 2022-23 only. Permitted for admission for 2023-24.,08-06-2016
561,MBBS,Telangana,"Government Medical College, Mancherial","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,2022,100,"Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 during A/Y 2022-23. Permitted (1st renewal) and 2nd batch for the Academic Year 2023 - 2024.",02-11-2022
562,MBBS,Telangana,"Government Medical College, Nagarkurnool","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,,150,"Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2022-23. Permitted (1st renewal) and 2nd batch for the Academic Year 2023 - 2024.",23-08-2022
563,MBBS,Telangana,"Government Medical College, Nalgonda","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,2019,150,"Permitted for renewal of permission u/s 10(A) 2020-21, Permitted for Renewal of 150 seats for the academic year 2022-23. Permitted (4th renewal) and 5th batch for the Academic Year 2023 - 2024.",29-05-2019
564,MBBS,Telangana,"Government Medical College, Nirmal","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,2023,100,"Permitted u/s 26 (1) (2) and 61(2) of NMC Act, 2019.",15-05-2023
565,MBBS,Telangana,"Government Medical College, Nizamabad",Dr. YSR University of Health Sciences,Govt.,2013,120,"Recognized for 100 seats when degree granted on or after February,2018. (Previously under NTR University of Health Sciences). Permitted for increase of seats from 100 to 120 under EWS quota (103rd constitution amendment) for 2019-20. Continuation of Recognition granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.",10-07-2013
566,MBBS,Telangana,"Government Medical College, Rajanna Sircilla","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,2023,100,"Permitted u/s 26(1) (a) (b), 28(1) (2) and 61(2) of NMC Act 2019 during A/Y 2023-2024.",N/A
567,MBBS,Telangana,"Government Medical College, Ramagundam","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,,150,"Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2022-23. Permitted (1st renewal) and 2nd batch for the Academic Year 2023 - 2024.",19-09-2022
568,MBBS,Telangana,"Government Medical College, Sangareddy","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,,150,"Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2022-23. Permitted (1st renewal) and 2nd batch for the Academic Year 2023 - 2024.",23-08-2022
569,MBBS,Telangana,"Government Medical College, Siddipet","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,2018,175,Permitted for 150 seats for renewal of permission u/s 10(A) for 2020-21. Permitted for increase of seats from 150 to 175 under EWS quota (103rd constitution amendment) for 2019-20. Permitted for Renewal of 150 seats for the academic year 2022-23. Recognized for one (01) year for 2022-23 only. Permitted for admission for 2023-24.,31-05-2018
570,MBBS,Telangana,"Government Medical College, Suryapet","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,2019,150,"Permitted for renewal of permission u/s 10(A) 2020-21, Permitted for Renewal of 150 seats for the academic year 2022-23. Permitted (4t renewal) and 5th batch for the Academic Year 2023 - 2024.",29-05-2019
571,MBBS,Telangana,"Government Medical College, Vikarabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,2023,100,"Permitted u/s 26(1) (b), 28 (1) (2) and 61(2) during Academic Year 2023-2024.",18-04-2023
572,MBBS,Telangana,"Government Medical College, Wanaparthy","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,2022,150,"Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2022-23. Permitted (1st renewal) and 2nd batch for the Academic Year 2023 - 2024.",23-08-2022
573,MBBS,Telangana,"Kakatiya Medical College, Warangal","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,1959,250,"Recognized for 150 seats. Recognized for increase of seats from 150 to 200 when degree granted on or after February, 2018. Permitted for increase of seats from 200 to 250 under EWS quota (103rd constitution amendment) for 2019-20. (Previously under NTR University of Health Sciences)",N/A
574,MBBS,Telangana,"Kamineni Academy of Medical Sciences & Research Center, Hyderabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Private,2013,150,Recognized when degree granted on or after February 2018. (Previously under NTR University of Health Sciences),02-07-2013
575,MBBS,Telangana,"Kamineni Institute of Medical Sciences, Narketpally",Dr. YSR University of Health Sciences,Trust,1999,200,Recognized for 150 seats. Recognized for increase of seats from 150-200 when granted on or after February 2020 (Previously under NTR University of Health Sciences). Continuation of Recognition granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.,N/A
576,MBBS,Telangana,"Mahavir Institute of Medical Sciences, Vikarabad, Telengana",Dr. YSR University of Health Sciences,Trust,2016,150,"Other Granted renewal of permission u/s 10(A) for 2020-21 & 2021-22 for admission of 150 seats [(previously under NTR Univ. of Health Sciences, till 2016 as per notification no. Z.20015/66/2019-ME-I (FT.S.8007891)]. Recognized for award of degree to 150 seats in respect of students admitted in 2016-17 for academic year 2021-22, Cancellation of admission for the academic year 2021-22 with immediate effect from 18-05-2022 renewal of permission for admission of the 3rd batch against the annual intake of 150 students for A/Y 2022-23. Permitted (4th renewal) and 5th batch for the Academic Year 2023 - 2024.",20-08-2016
577,MBBS,Telangana,"Maheshwara Medical College, Chitkul, Patancheru, Medak",Dr. YSR University of Health Sciences,Society,2016,150,"Recognized Not permitted for renewal of permission u/s 10(A) for 2019-20, Permitted for 150 seats for renewal of permission u/s 10(A) for 2020-21. Recognized for 150 seats only in respect of the students admitted in 2016-17 for academic year 2021-22. Permitted for renewal of 150 seats for the academic year 2022-23. Recognized for one (01) year for 2022-23 only. Permitted for admission for 2023-24.",20-08-2016
578,MBBS,Telangana,"Malla Reddy Institute of Medical Sciences, Hyderabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Society,2012,200,"Recognized for 150 seats when degree granted on or after 2016- 2017. (Previously under Dr. NTR University of Health Sciences, vijaywada), Permission granted for admission of 150 seats for 2021-2022, Permitted for increase of seats 150 to 200 u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 150-200 seats for the academic year 2022-23. Permitted for (2nd renewal) 3rd batch for the Academic Year 2023 -2024.",21-06-2012
579,MBBS,Telangana,"Mallareddy Medical College for Women, Hyderabad",Dr. YSR University of Health Sciences,Society,2013,200,"Recognized when degree granted on or after February,2018. (Previously under NTR University of Health Sciences), Permitted for increase of seats 150 to 200 u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22, Recognized when degree granted on or after February,2018. (Previously under NTR University of Health Sciences), Permitted for increase of seats 150 to 200 u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 150-200 seats for the academic year 2022-23. Permitted (2nd renewal) 3rd batch for the Academic Year 2023 -2024.",15-07-2013
580,MBBS,Telangana,"Mamata Academy of Medical Sciences, Bachupally","Kaloji Narayana Rao University of Health Sciences, Warangal",Society,2019,150,"Permitted for renewal of permission u/s 10(A) for 2020-21, Permitted for Renewal of 150 seats for the academic year 2022-23. Permitted (4th renewal) and 5th batch for the Academic Year 2023 - 2024.",20-05-2019
581,MBBS,Telangana,"Mamata Medical College, Khammam",Dr. YSR University of Health Sciences,Trust,1998,200,"Recognized (Previously under NTR University of Health Sciences) Recognition continued for the award of degree when granted on or after 2016-2017 for 150 seats. Permission renewed for admission of 150 seats for 2021-2022, Permitted for increase of seats 150 to 200 u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2022-23. Permitted (1st renewal) and permission for 2nd batch for Academic Year 2023 - 2024. Continuation of Recognition granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.",19-05-1998
582,MBBS,Telangana,"Mediciti Institute Of Medical Sciences, Ghanpur","Kaloji Narayana Rao University of Health Sciences, Warangal",Trust,2002,150,"Recognized for 100 seats. Recognized for increase of seats from 100 to 150 when degree granted on or after February, 2017. (Previously under NTR University of Health Sciences). Admission has been stopped u/s 26 of NMC Act. 2019 for the Academic Year 2023- 2024. However, on the basis of the compliance verification/review, MARB grants approval for continuation of 150 MBBS seats vide letter No. NMC/UG/2023 -2024 /000088/ 034978 dated 16.06. 2023 for the Academic Year 2023 - 2024",06-08-2002
583,MBBS,Telangana,"MNR Medical College & Hospital, Sangareddy",Dr. YSR University of Health Sciences,Trust,2002,150,"Recognized Recognized for 100 seats. (Previously under NTR University of Health Sciences). Permitted for increase of seats from 100 to 150 u/s 10(A) for 2020-21, Cancellation of admission for the academic year 2021-22 with effect from 19-05-2022 which was issued vide letter number NMC/UGR/2020/000115/018386-96 dated 18.05.2022 has been withdrawn vide letter No. NMC/UGRENEWAL/2020/000115/052707 dated 13.12.2022. Permitted for renewal of 100 to 150 seats for the academic year 2022-23. Permitted for 3rd renewal 4th batch for the Academic Year 2023 -2024.",N/A
584,MBBS,Telangana,"Neelima Institute of Medical Sciences, Medchal",Anurag University,Trust,2023,150,"Permitted u/s 26 (a) (b) ,28(1) (2) and 61(2) of NMC Act. 2019 for the A/Y 2023-2024.",29-03-2023
585,MBBS,Telangana,"Osmania Medical College, Hyderabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,1946,250,"Recognized for 200 seats. Recognized for increase of seats from 200 to 250 when degree granted on or after February, 2018 (Previously under NTR University of Health Sciences). Continuation of Recognition granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.",N/A
586,MBBS,Telangana,"Prathima Institute Of Medical Sciences, Karimnagar",Dr. YSR University of Health Sciences,Trust,2001,250,"Recognized for 150 seats (under NTR university of Health and Sciences till 2015). Permitted for increase of seats from 150 to 200 for 2019-'20 [under Kaloji Narayana Rao University of Health Sciences, Warangal since 2016 as per notification no. Z.20015/66/2019-ME-I (FTS.8007891)]. Fifty (50) MBBS seats have been increased i.e. 200 to 250 u/s 26 (1) (a( (b), 28 )1) (2) and 61 (2) of NMC Act, 2029 during Academic Year 2023 - 2024. Continuation of Recognition granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.",12-11-2002
587,MBBS,Telangana,Prathima Relief Institue of Medical Sciences,"Kaloji Narayana Rao University of Health Sciences, Warangal",Trust,2022,150,Permitted 100 MBBS seats u/s 26(1)(a)(b) & 28(1)(2) of NMC Act 2019 for the AY 2022-23. 50 additional seats considered & permitted on the basis of the order of 2nd appeal for the AY 2023-24. Permitted (1st renewal) and 2nd batch for 100 MBBS seats during Academic Year 2023 - 2024.,14-10-2022
588,MBBS,Telangana,"Rajiv Gandhi Institute of Medical Sciences, adilabad",Dr. YSR University of Health Sciences,Govt.,2008,120,"Recognized for 100 seats when degree granted on or after February, 2013. Permitted for increase of seats from 100 to 120 under EWS quota (103rd constitution amendment) for 2019-20. continuation of recognition granted for 100 seats when degree awarded on or after 2019.",14-07-2008
589,MBBS,Telangana,"R.V.M. Institute of Medical Sciences and Research Centre, Siddipet","Kaloji Narayana Rao University of Health Sciences, Warangal",Trust,2016,250,Other granted renewal of permission u/s 10(A) for 2020-21. Recognized for 150 seats only in respect of the students admitted in 2016-17 for academic year 2021-22. Permission to increase from 150 to 250 MBBS seats have been given during A/Y 2023-2024. Recognized for one (01) year for 2022-23 only. Permitted for admission for 2023-24.,20-08-2016
590,MBBS,Telangana,"Shadan Institute of Medical Sciences,Research Centre and Teaching Hospital, Peerancheru",Dr. YSR University of Health Sciences,Society,2005,150,Recognized (Previously under NTR University of Health Sciences till 6/11/2019). Continuation of Recognition granted when degree awarded in 2021-22 to 2016-17 batch to 150 seats under NTR University of Health Sciences. Renewal of permission granted for admitting 150 students in 2021-22. Continuation of Recognition granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.,23-03-2005
591,MBBS,Telangana,"Surabhi Institute of Medical Sciences, Siddipet, Telangana",Dr. YSR University of Health Sciences,Society,2019,150,"Permitted u/s 10(A) for 2020-21, Permitted for Renewal of 150 seats for the academic year 2022-23. Permitted 4th renewal 5th batch for AY 2023-2024.",20-05-2019
592,MBBS,Telangana,"S V S Medical College, Mehboobnagar","Kaloji Narayana Rao University of Health Sciences, Warangal",Trust,1999,150,"Recognized for 100 seats. Recognized for increase of seats from 100 to 150 when degree granted on or after February,2018. (Previously under NTR University of Health Sciences)",N/A
593,MBBS,Telangana,"TRR Institute of Medical Sciences, Patancheru ","Kaloji Narayana Rao University of Health Sciences, Warangal",Society,2020,150,"Other LOP granted on 30-09-2021 for 1st renewal and 2nd batch admission is withdrawn with immediate effect from 13-04-2022, PermittedÂ u/s 10(A) for 2020-21. Permitted for renewal of 150 seats for the AY 2022-23. Permission for 4th batch (3rd renewal) has been given during A/Y 2023 -2024.",15-10-2020
594,MBBS,Tripura,"Agartala Government Medical College,Agartala",Tripura University,Govt.,2005,125,"Recognized for 100 MBBS seats annually upto April, 2027. Permitted for increase of seats i.e. from 100 to 125 under EWS quota (103rd constitution amendment) from the academic session 2019-20.",N/A
595,MBBS,Tripura,"Tripura Medical College and Dr. B R A M Teaching Hospital, Agartala",Tripura University,Trust,2006,100,Recognized Continuation of Recognition granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.,N/A
596,MBBS,Uttarakhand,"All India Institute of Medical Sciences, Rishikesh","Statutory Autonomous, AIIMS(New Delhi)",Govt.,2012,125,"Recognized vide letter dated 18.09.2017 from MOH&FW,GOI.",N/A
597,MBBS,Uttarakhand,"Doon Medical College, Dehradun, Uttarakhand","Hemwati Nandan Bahuguna Uttarakhand Medical Education University, Dehradun",Govt.,2016,175,Recognized for 150 seats for renewal of permission u/s 10(A) for 2020-21. Permitted for increase of seats from 150 to 175 under EWS quota (103rd constitution amendment) for 2019-20. Recognized for 150 seats only in respect of the students admitted in 2016-17 for academic year 2021-22. Recognized for one(01) year for 2022-23 only. Permitted for admission for 2023-24.,08-06-2016
598,MBBS,Uttarakhand,"Gautam Buddha Chikitsa Mahavidyalaya, Dehradum","Ras Bihari Bose Subharti University, Dehradun",Trust,2022,150,"Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22, Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 150 seats for the academic year 2022-23. Permission for 3rd batch (2nd renewal) has been given during A/Y 2023-2024.",21-02-2022
599,MBBS,Uttarakhand,"Government Medical College (Prev.Uttarakhand Forest Hospital Trust Med.Col.), Haldwani","Hemwati Nandan Bahuguna Uttarakhand Medical Education University, Dehradun",Govt.,2001,125,Recognized for 100 seats when degree granted on or after May 2009. Permitted for increase of seats from 100 to 125 under EWS quota (103rd constitution amendment) for 2019-20.,N/A
600,MBBS,Uttarakhand,"Himalayan Institute of Medical Sciences, Dehradun","Swami Rama Himalayan University, Dehradun",Trust,1995,150,"Recognized for 100 seats when degree granted on or after march 2008. Recognized for increase of seats from 100 to 150 when degree granted on or after February, 2018. (Previously under HIHT University i.e. before June 2014)",N/A
601,MBBS,Uttarakhand,"Shri Guru Ram Rai Institute of Medical & Health Sciences, Dehradun",Shri Guru Ram Rai University,Society,2006,150,"Recognized for 100 seats when degree granted on or after 2011( Previously under H. N.B Garhwal University for batches admitted till 2016-17). Recognized for increase of seats from 100 to 150 when degree granted on or after February, 2020. COR granted for one(01) year for 2022-23 only. Permitted for admission for 2023-24.",N/A
602,MBBS,Uttarakhand,"Soban Singh Jeena Government Institute of Medical Science & Research, Almora","HNB Uttarakhand Medical Education University, Dehradun",Govt.,2021,100,"Permitted For 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22, Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 100 seats for the academic year 2022-23. Permitted (2nd renewal) and 3rd batch for the Academic Year 2023 - 2024.",27-01-2022
603,MBBS,Uttarakhand,"Veer Chandra Singh Garhwali Govt. Medical Sc. & Research Instt, Srinagar, Pauri Garhwal",Hemwati Nandan Bahuguna Uttarakhand Medical Education University,Govt.,2008,175,"Recognized for 100 seats when degree granted on or after January 2013. Permitted for increase of seats from 100 to 125 under EWS quota (103rd constitution amendment) for 2019-20. Granted renewal of annual recognition upto 2021-'22 for 100 seats. Renewal of permission to admit 125 students (including EWS quota) granted for 2021-'22, Permitted for increase of seats 125 to 175 u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 125-175 seats for the academic year 2022-23. Permitted (2nd renewal) and 3rd batch for the Academic Year 2023 - 2024.",25-06-2008
604,MBBS,Uttar Pradesh,"All India Institute of Medical Sciences, Gorakhpur","Statutory Autonomous, AIIMS(New Delhi)",Govt.,2019,125,"Permitted by MOH&FW,GOI.",N/A
605,MBBS,Uttar Pradesh,"All India Institute of Medical Sciences, Rae Bareli","Statutory Autonomous, AIIMS(New Delhi)",Govt.,2019,100,"Permitted by MOH&FW,GOI.",N/A
606,MBBS,Uttar Pradesh,Autonomous State Medical College Pratapgarh,"Atal Bihari Vajpayee Medical University, Lucknow, Uttar Pradesh",Govt.,2021,100,"Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22, Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 100 seats for the academic year 2022-23. Permitted for (2nd renewal) 3rd batch for the Academic Year 2023 -2024.",01-11-2021
607,MBBS,Uttar Pradesh,"Autonomous State Medical College, Siddharthnagar","Atal Bihari Vajpayee Medical University, Lucknow, Uttar Pradesh",Govt.,2021,100,"Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22, Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 100 seats for the academic year 2022-23. Permitted (2nd renewal) and 3rd batch for the Academic Year 2023 - 2024.",01-11-2021
608,MBBS,Uttar Pradesh,"Autonomous State Medical College Society, Etah, Uttar Pradesh","Atal Bihari Vajpayee Medical University, Lucknow, Uttar Pradesh",Govt.,2021,100,"Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22, Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 100 seats for the academic year 2022-23. Permitted (2nd renewal) and 3rd batch for the Academic Year 2023 - 2024.",01-11-2021
609,MBBS,Uttar Pradesh,"Autonomous State Medical College Society, Fatehpur","Atal Bihari Vajpayee Medical University, Lucknow, Uttar Pradesh",Govt.,2021,100,"Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22, Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 100 seats for the academic year 2022-23. Permitted (2nd renewal) and 3rd batch for the Academic Year 2023 - 2024.",01-11-2021
610,MBBS,Uttar Pradesh,Autonomous State Medical College Society Ghazipur,"Atal Bihari Vajpayee Medical University, Lucknow, Uttar Pradesh",Govt.,2021,100,"Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22, Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 100 seats for the academic year 2022-23. Permitted (2nd renewal) and 3rd batch for the Academic Year 2023 - 2024.",01-11-2021
611,MBBS,Uttar Pradesh,"Autonomous State Medical College Society, Hardoi","Atal Bihari Vajpayee Medical University, Lucknow, Uttar Pradesh",Govt.,2021,100,"Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22, Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 100 seats for the academic year 2022-23. Permitted (2nd renewal) and 3rd batch for the Academic Year 2023 - 2024.",01-11-2021
612,MBBS,Uttar Pradesh,Autonomous State Society Medical College Mirzapur,"Atal Bihari Vajpayee Medical University, Lucknow, Uttar Pradesh",Govt.,2021,100,"Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22, Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 100 seats for the academic year 2022-23. Permitted (2nd renewal) and 3rd batch for the Academic Year 2023 - 2024.",01-11-2021
613,MBBS,Uttar Pradesh,"BRD Medical College, Gorakhpur","Deen Dayal Upadhyay Gorakhpur University, Gorakhpur",Govt.,1972,150,"Recognized for 50 seats. Recognized for increase of seats from 50 to 100 when degree granted on or after March, 2018. Permitted for increase of seats from 100 to 150 under EWS quota (103rd constitution amendment) from 2019-20.",N/A
614,MBBS,Uttar Pradesh,"Career Instt. Of Medical Sciences & Hospital, Lucknow","Dr. Ram Manohar Lohia Avadh University, Faizabad",Trust,2011,150,Recognized  for 100 seats when degree granted on or after Feb. 2016. Permission continued for admission of 100 seats for 2021-22. 50 additional MBBS seats have been permitted during AY 2023-2024. Recognized for one(01) year for 2022-23 only.,30-06-2011
615,MBBS,Uttar Pradesh,"Dr. Ram Manohar Lohia Institute of Medical Sciences,Lucknow","Dr. Ram Manohar Lohia Institute of Medical Sciences, Lucknow (deemed)",Govt.,2012,200,"Permitted Permitted for 150 seats for renewal of permission u/s 10(A) for 2020-21. Permitted for increase of seats from 150 to 200 under EWS quota (103rd constitution amendment) for 2019-20. (Previously under King Georges Medical University, Lucknow)",26-05-2017
616,MBBS,Uttar Pradesh,"Era Lucknow Medical College , Lucknow","Dr. Ram Manohar Lohia Avadh University, Faizabad",Trust,1997,150,"Recognized for 100 seats. Recognized for increase of seats from 100 to 150 when degree granted on or after March, 2016 in pursuance of the Hon'ble supreme court order dated 09.10.2017 passed in WPC No. 432/2017. Renewal of permission granted to admit 150 students in 2021-22. COR granted for one(01) year for 2022-23 only. Permitted for admission for 2023-24.",N/A
617,MBBS,Uttar Pradesh,"F.H. Medical College & Hospital, Etamdapur, Agra","Dr B R Ambedkar University,Agra, U.P.",Trust,2014,150,Recognized when degree granted on or after February 2019.,22-07-2014
618,MBBS,Uttar Pradesh,"Government Allopathic Medical College, Banda, UP","King Georges Medical University,Lucknow",Govt.,2016,100,Other granted renewal of permission u/s 10(A) for 2019-20. Recognized for 100 seats only in respect of the students admitted in 2016-17 for academic year 2021-22. Recognized for one (01) year for 2022-23 only. Permitted for admission for 2023-24.,08-06-2016
619,MBBS,Uttar Pradesh,"Government Institute of Medical Sciences, Kasna, Greater Noida","King Georges Medical University,Lucknow",Govt-Society,2019,100,"Permitted  for renewal of permission u/s 10(A) for 2020-21, Permitted for Renewal of 100 seats for the academic year 2022-23. Permitted for 4th renewal 5th batch for the Academic Year 2023 -2024.",20-05-2019
620,MBBS,Uttar Pradesh,"Government Medical College, Badaun, U.P.",Mahatma Jyotiba Phule Rohilkhand University,Govt.,2019,100,"Permitted for renewal of permission u/s 10(A) 2020-21, Permitted for Renewal of 100 seats for the academic year 2022-23. Permitted (4th renewal) and 5th batch for the Academic Year 2023 - 2024.",30-05-2019
621,MBBS,Uttar Pradesh,"Government Medical College, Faizabad","King Georges Medical University,Lucknow",Govt.,2019,100,"Permitted for renewal of permission u/s 10(A) 2020-21, Permitted for Renewal of 100 seats for the academic year 2022-23. Permitted (4th renewal) and permission for 5th batch for Academic Year 2023 - 2024.",29-05-2019
622,MBBS,Uttar Pradesh,"Government Medical College, Firozabad","King Georges Medical University,Lucknow",Govt.,2019,100,"Permitted for renewal of permission u/s 10(A) 2020-21, Permitted for Renewal of 100 seats for the academic year 2022-23.Permitted (4th renewal) and permission for 5th batch for Academic Year 2023 - 2024.",28-05-2019
623,MBBS,Uttar Pradesh,"Government Medical College, Kannauj","King Georges Medical University,Lucknow",Govt.,2012,100,"Recognized when degree granted on or after February, 2017.",27-06-2012
624,MBBS,Uttar Pradesh,"Government Medical College, Rampur, Basti","King Georges Medical University,Lucknow",Govt.,2019,100,Permitted u/s 10(A) for 2019-20. Permitted for Renewal of 100 seats for the academic year 2022-23. Permission for 5th batch (4th renewal) has been given during A/Y 2023-2024.,31-05-2019
